id,zoneClim,moi,>=alt,<alt,inertieLourde,DH19,Nref19,E,Text,Tefs
342,H2b,6,0,400,oui,0,0,0,0,"15,3"
343,H2b,7,0,400,oui,0,0,0,0,"17,8"
344,H2b,8,0,400,oui,0,0,0,0,18
345,H2b,9,0,400,oui,0,0,0,0,"18,1"
346,H2b,10,0,400,oui,"2055,7",272,"37,37","11,4","15,5"
347,H2b,11,0,400,oui,"7387,1",716,"42,57","8,1","12,4"
348,H2b,12,0,400,oui,9081,744,"27,5","5,6","9,2"
349,H2c,1,0,400,oui,"9812,8",744,"40,4","5,1","9,8"
350,H2c,2,0,400,oui,"7883,1",670,"63,77","6,6","9,5"
351,H2c,3,0,400,oui,"6489,1",699,"110,02","9,7","10,2"
352,H2c,4,0,400,oui,"3120,2",412,"61,26","12,2","11,3"
353,H2c,5,0,400,oui,0,0,0,0,"14,9"
354,H2c,6,0,400,oui,0,0,0,0,"17,5"
355,H2c,7,0,400,oui,0,0,0,0,"19,8"
356,H2c,8,0,400,oui,0,0,0,0,"19,8"
357,H2c,9,0,400,oui,0,0,0,0,"19,7"
358,H2c,10,0,400,oui,"2791,8",533,"68,99","15,6","17,7"
359,H2c,11,0,400,oui,"6725,2",693,"63,3","9,1",14
360,H2c,12,0,400,oui,"9535,9",744,"38,16",5,"9,8"
361,H2d,1,0,400,oui,10042,738,"98,24","4,9","8,6"
362,H2d,2,0,400,oui,"8913,2",672,"100,73","5,1","8,5"
363,H2d,3,0,400,oui,"6834,6",699,"116,26","9,3","9,4"
364,H2d,4,0,400,oui,"3813,8",482,"91,41","12,7","12,9"
365,H2d,5,0,400,oui,0,0,0,0,"16,7"
366,H2d,6,0,400,oui,0,0,0,0,18
367,H2d,7,0,400,oui,0,0,0,0,"23,6"
368,H2d,8,0,400,oui,0,0,0,0,"20,9"
369,H2d,9,0,400,oui,0,0,0,0,"22,9"
370,H2d,10,0,400,oui,370,53,"9,68","13,6","18,4"
371,H2d,11,0,400,oui,"6851,3",683,"87,35","8,9","14,1"
372,H2d,12,0,400,oui,"15639,4",744,"85,07",5,"9,4"
373,H3,1,0,400,oui,"9264,6",744,"92,47","5,9","8,4"
374,H3,2,0,400,oui,"6041,6",664,"91,37","9,4","11,7"
375,H3,3,0,400,oui,"6118,4",715,"109,83","10,2","11,4"
376,H3,4,0,400,oui,"2469,9",390,"79,8","13,2",12
377,H3,5,0,400,oui,0,0,0,0,"17,2"
378,H3,6,0,400,oui,0,0,0,0,"20,7"
379,H3,7,0,400,oui,0,0,0,0,"21,4"
380,H3,8,0,400,oui,0,0,0,0,"25,4"
381,H3,9,0,400,oui,0,0,0,0,20
382,H3,10,0,400,oui,0,0,0,0,"19,8"
383,H3,11,0,400,oui,"5536,8",601,"71,76","9,5","14,7"
384,H3,12,0,400,oui,"7659,1",739,75,"7,6","12,1"
385,H1a,1,400,800,oui,"13200,4",744,"38,36","0,6","5,8"
386,H1a,2,400,800,oui,"11310,8",672,"37,47","1,5","3,5"
387,H1a,3,400,800,oui,"9402,4",741,"77,61","5,7","4,9"
388,H1a,4,400,800,oui,"7283,3",710,"86,79","8,3","7,1"
389,H1a,5,400,800,oui,"4359,2",635,"87,83",13,"9,4"
390,H1a,6,400,800,oui,"1795,8",358,"60,45","16,1","13,1"
391,H1a,7,400,800,oui,0,0,0,0,"14,1"
392,H1a,8,400,800,oui,0,0,0,0,"15,8"
393,H1a,9,400,800,oui,"3385,3",494,"67,85","12,6","13,9"
394,H1a,10,400,800,oui,"4977,9",683,"61,45","11,8","12,7"
395,H1a,11,400,800,oui,"8298,6",720,"43,04","6,8","10,5"
396,H1a,12,400,800,oui,"11061,3",744,"34,26",3,"7,2"
397,H1b,1,400,800,oui,"11668,7",744,"31,13","2,7","4,9"
398,H1b,2,400,800,oui,"10218,7",672,"45,92","3,2","4,1"
399,H1b,3,400,800,oui,"9689,8",744,"61,88","5,3","4,4"
400,H1b,4,400,800,oui,7285,700,"79,71","8,3","5,6"
401,H1b,5,400,800,oui,"2826,2",337,"48,02",12,"9,3"
402,H1b,6,400,800,oui,0,0,0,0,"12,9"
403,H1b,7,400,800,oui,0,0,0,0,"14,9"
